13523313	/m/03c85r9	Night Key	1937		68.0	{"/m/02h40lc": "English Language"}	{"/m/09c7w0": "United States of America"}	{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/06n90": "Science Fiction", "/m/01jfsb": "Thriller", "/m/01g6gs": "Black-and-white"}
23998065	/m/07k7s_t	Portrait of Alison	1955			{}	{"/m/07ssc": "United Kingdom"}	{"/m/0lsxr": "Crime Fiction"}
24829091	/m/080mb9j	White Shadows in the South Seas	1928-11-10		89.0	{"/m/02h40lc": "English Language"}	{"/m/09c7w0": "United States of America"}	{"/m/0lsxr": "Crime Fiction", "/m/06ppq": "Silent film", "/m/07s9rl0": "Drama", "/m/03k9fj": "Adventure"}
2253183	/m/06zftm	Gold	1974		118.0	{"/m/02h40lc": "English Language"}	{"/m/07ssc": "United Kingdom"}	{"/m/03btsm8": "Action/Adventure", "/m/01jfsb": "Thriller", "/m/02kdv5l": "Action", "/m/0219x_": "Indie"}
35994049	/m/0j_7plj	Thaai Naadu	1989-02-16			{"/m/07c9s": "Tamil Language"}	{"/m/03rk0": "India"}	{}
1397198	/m/04zbg1	Butterflies Are Free	1972-07-06		109.0	{"/m/02h40lc": "English Language"}	{"/m/09c7w0": "United States of America"}	{"/m/06cvj": "Romantic comedy", "/m/02l7c8": "Romance Film", "/m/01z4y": "Comedy"}
14836345	/m/03gzmkj	The Mothering Heart	1913-06-21			{"/m/06ppq": "Silent film", "/m/02h40lc": "English Language"}	{"/m/09c7w0": "United States of America"}	{"/m/02hmvc": "Short Film", "/m/06ppq": "Silent film", "/m/07s9rl0": "Drama", "/m/0219x_": "Indie", "/m/01g6gs": "Black-and-white"}
285559	/m/01pzf8	Feeling Minnesota	1996-09-13		99.0	{"/m/02h40lc": "English Language"}	{"/m/09c7w0": "United States of America"}	{"/m/0lsxr": "Crime Fiction", "/m/04228s": "Road movie", "/m/0hj3l_y": "Action Comedy", "/m/03btsm8": "Action/Adventure", "/m/01z4y": "Comedy", "/m/0vgkd": "Black comedy", "/m/02l7c8": "Romance Film", "/m/02kdv5l": "Action"}
12138493	/m/02vr30w	The Doe Boy	2001		85.0	{"/m/02h40lc": "English Language"}	{"/m/09c7w0": "United States of America", "/m/03_3d": "Japan"}	{"/m/0gw5n2f": "Japanese Movies", "/m/017fp": "Biography", "/m/07s9rl0": "Drama", "/m/0219x_": "Indie", "/m/02h8pkk": "Family Drama"}
8355881	/m/0270kq7	Jagadam	2007-03-16		145.0	{"/m/09s02": "Telugu language"}	{"/m/03rk0": "India"}	{"/m/0lsxr": "Crime Fiction", "/m/0gw5w78": "Gangster Film", "/m/03q4nz": "World cinema", "/m/04t36": "Musical", "/m/07s9rl0": "Drama", "/m/01chg": "Bollywood"}
10004330	/m/02pzjvb	Halls of Montezuma	1950	2650000	113.0	{"/m/02h40lc": "English Language"}	{"/m/09c7w0": "United States of America"}	{"/m/03btsm8": "Action/Adventure", "/m/02kdv5l": "Action", "/m/082gq": "War film"}
8605430	/m/0279p_0	Titli	2002			{"/m/01c7y": "Bengali Language"}	{"/m/03rk0": "India"}	{"/m/07s9rl0": "Drama", "/m/02n4lw": "Art film"}
18214555	/m/07s3cgn	Anvil! The Story of Anvil	2008-01-18		81.0	{"/m/02h40lc": "English Language"}	{"/m/09c7w0": "United States of America"}	{"/m/04rlf": "Music", "/m/01j28z": "Rockumentary", "/m/017fp": "Biography", "/m/0jtdp": "Documentary"}
24700816	/m/0805x9c	Un amour à taire	2005		102.0	{"/m/064_8sq": "French Language"}	{"/m/0f8l9c": "France"}	{"/m/0hn10": "LGBT", "/m/07s9rl0": "Drama", "/m/03q4nz": "World cinema"}
1456011	/m/052zsk	The Final Season	2007-10-12	1159691	114.0	{"/m/02h40lc": "English Language"}	{"/m/09c7w0": "United States of America"}	{"/m/01z02hx": "Sports", "/m/09n5t_": "Americana", "/m/07s9rl0": "Drama", "/m/0219x_": "Indie"}
25256753	/m/09gd_4r	The Railway Children	2000		108.0	{"/m/02h40lc": "English Language"}	{"/m/07ssc": "United Kingdom"}	{"/m/0hqxf": "Family Film"}
2721095	/m/07zyd1	The Sniper	1952-05-09		88.0	{"/m/02h40lc": "English Language"}	{"/m/09c7w0": "United States of America"}	{"/m/01jfsb": "Thriller", "/m/0lsxr": "Crime Fiction", "/m/09blyk": "Psychological thriller", "/m/01g6gs": "Black-and-white", "/m/07s9rl0": "Drama", "/m/02wtdps": "Crime Thriller", "/m/02xh1": "Film noir"}
